Latitude,Longitude,Altitude (m)
-45.546223,144.38554,9260.219
-45.54853,144.20062,9247.037
-45.590004,144.2709,9253.102
-45.58751,144.22649,9250.019
-45.62985,144.1258,9252.463
-45.527298,144.17075,9262.892
-45.702652,144.25642,9248.7295
-45.694603,144.13715,9251.84
-45.67148,144.21954,9251.112
-45.765205,144.1483,9239.644
-45.78315,144.08662,9262.813
-45.718563,144.08916,9252.523
-45.838745,144.18875,9237.479
-45.792397,144.04266,9247.42
-45.835228,144.07463,9241.289
-45.865955,144.0712,9238.569
-45.831223,144.04439,9249.818
-45.843643,144.0527,9246.988
-45.94131,143.93958,9222.13
-45.922195,143.99062,9229.165
-45.896206,144.00688,9229.683
-45.93505,144.09312,9234.026
-46.04793,144.19261,9231.603
-46.017654,143.93866,9227.325
-46.03791,143.74638,9215.867
-46.016468,144.1234,9242.412
-46.062756,143.86014,9216.469
-46.16254,143.8303,9207.108
-46.0934,143.89143,9218.753
-46.159275,143.80292,9198.349
-46.17819,143.87248,9209.591
-46.176273,143.7464,9208.167
-46.14689,143.83894,9217.083
-46.236713,143.6548,9196.75
-46.29481,143.58551,9187.916
-46.17722,143.97629,9224.134
-46.326035,143.57007,9178.57
-46.33434,143.83438,9203.183
-46.303074,143.67166,9192.189
-46.35658,143.69453,9192.487
-46.43364,143.5351,9193.145
-46.320385,143.72588,9209.624
-46.423958,143.44562,9181.641
-46.43867,143.76466,9198.226
-46.48295,143.48407,9182.736
-46.448093,143.69742,9198.929
-46.544525,143.48375,9177.426
-46.53906,143.44702,9180.227
-46.49189,143.60033,9195.849
-46.58766,143.59624,9175.584
-46.628853,143.2854,9158.59
-46.58348,143.59631,9152.673
-46.670994,143.43544,9149.924
-46.635963,143.38245,9160.67
-46.66697,143.30528,9156.157
-46.68506,143.40228,9164.394
-46.739056,143.59532,9164.444
-46.767242,143.38791,9155.87
-46.72848,143.20789,9144.964
-46.73912,143.50371,9155.655
-46.823635,143.51663,9159.419
-46.766563,143.4752,9157.37
-46.87412,143.14412,9134.233
-46.827377,143.40121,9152.435
-46.813255,143.47496,9167.081
-46.930183,143.12524,9131.007
-46.868397,143.37808,9145.338
-46.951466,143.40564,9150.638
-47.004356,143.08472,9125.153
-46.911892,143.29279,9138.116
-47.047283,142.92216,9117.835
-46.985443,143.25061,9144.289
-47.086338,143.26302,9121.391
-47.068058,143.15936,9117.116
-47.098,143.06058,9109.207
-47.09619,143.08386,9116.798
-47.08881,143.30588,9130.562
-47.21028,142.87672,9092.851
-47.09414,143.1803,9110.148
-47.239902,142.99666,9091.819
-47.173866,142.95932,9104.493
-47.22586,143.15341,9093.806
-47.291367,143.18219,9092.121
-47.264114,142.99748,9090.612
-47.26089,142.85948,9082.673
-47.292255,143.07095,9088.542
-47.33887,143.16876,9104.587
-47.31547,143.17813,9114.194
-47.35805,143.09906,9096.707
-47.423332,142.85226,9065.153
-47.375313,142.93344,9077.606
-47.423496,142.96881,9080.868
-47.478176,142.71431,9071.555
-47.413612,142.74733,9085.709
-47.482323,143.13568,9103.14
-47.540573,142.78516,9058.219
-47.531128,142.9155,9063.313
-47.562054,142.86052,9068.142
-47.52661,142.91608,9080.209
-47.572006,142.98053,9081.936
-47.661716,142.76555,9047.467
-47.629856,142.56451,9058.28
-47.63857,142.90102,9066.59
-47.7274,142.67798,9049.36
-47.6935,142.86914,9048.455
-47.759285,142.60982,9042.769
-47.727123,142.73563,9045.19
-47.79828,142.70778,9039.488
-47.785194,142.72205,9041.042
-47.798866,142.38332,9026.733
-47.782635,142.71397,9041.164
-47.883698,142.74963,9037.609
-47.86485,142.56726,9027.193
-47.867237,142.82112,9050.75
-47.97615,142.35059,9023.944
-47.877377,142.80873,9049.87
-48.02145,142.38315,9024.818
-47.932358,142.72276,9033.286
-48.029984,142.46822,9014.187
-48.040073,142.4446,9027.355
-48.00444,142.54762,9040.256
-48.057243,142.51942,9021.818
-48.098427,142.48866,9009.662
-48.09086,142.42198,9007.835
-48.094986,142.17859,8995.264
-48.116394,142.59393,9021.992
-48.14493,142.37683,8989.476
-48.201054,142.57372,9033.822
-48.250137,142.31151,8985.569
-48.236385,142.29182,8985.76
-48.28317,142.3912,8992.704
-48.284412,142.3048,8981.479
-48.316353,142.3309,8995.927
-48.3196,142.27507,8977.975
-48.350727,142.29329,8960.66
-48.38955,142.32335,8973.322
-48.345917,142.19383,8956.037
-48.427505,142.31091,8970.471
-48.40427,142.20451,8956.783
-48.462547,142.22464,8966.796
-48.454445,142.18315,8970.836
-48.41035,142.1656,8975.577
-48.528027,142.22324,8960.166
-48.53021,142.23692,8960.123
-48.535572,142.19092,8961.604
-48.590508,141.9774,8952.411
-48.56225,141.96535,8961.439
-48.573887,142.26125,8980.54
-48.637016,142.16707,8952.222
-48.670208,142.00728,8940.169
-48.669544,142.06587,8952.534
-48.692017,142.04669,8946.085
-48.705994,141.97214,8939.117
-48.69387,142.04694,8943.515
-48.76383,142.15866,8940.795
-48.806454,142.10217,8935.193
-48.76039,142.21414,8947.055
-48.85199,142.14914,8927.012
-48.8485,141.86388,8916.02
-48.779266,141.88347,8928.142
-48.911427,141.86711,8909.6045
-48.885048,141.85709,8915.504
-48.898643,141.86385,8914.005
-48.931812,142.1133,8927.344
-48.95734,142.16125,8928.339
-48.980904,141.69875,8891.867
-49.01131,141.95581,8909.874
-48.972187,141.8227,8911.631
-49.090042,141.76282,8890.516
-48.960342,141.97142,8924.685
-49.133297,141.70996,8876.326
-49.066017,141.80847,8918.626
-49.160202,141.73396,8892.689
-49.125256,141.70294,8908.543
-49.182796,141.66295,8898.558
-49.19204,141.7547,8899.054
-49.227158,141.71387,8888.6875
-49.22233,141.7087,8889.173
-49.26142,141.78526,8881.877
-49.311554,141.83987,8885.577
-49.311424,142.07324,8908.848
-49.300182,141.37675,8858.169
-49.303257,141.72737,8890.968
-49.336903,141.50034,8857.25
-49.4112,141.59753,8867.212
-49.404236,141.53758,8873.977
-49.39895,141.47676,8864.192
-49.472946,141.56549,8855.525
-49.464703,141.47159,8847.928
-49.496414,141.50493,8853.348
-49.50052,141.47343,8855.529
-49.53413,141.41377,8857.226
-49.53139,141.43481,8868.297
-49.56311,141.4063,8857.056
-49.579834,141.27795,8852.692
-49.55573,141.3962,8863.769
-49.63898,141.6674,8857.96
-49.665028,141.36752,8835.132
-49.64628,141.25302,8829.37
-49.676456,141.51704,8842.906
-49.664665,141.52792,8855.723
-49.744736,141.26204,8820.37
-49.740417,141.23859,8827.663
-49.749653,141.33492,8843.995
-49.801785,141.3085,8824.982
-49.795944,141.33745,8834.385
-49.8485,141.23543,8815.43
-49.812027,140.9994,8821.305
-49.860744,141.21602,8828.744
-49.91379,141.3213,8816.933
-49.924465,141.37816,8830.769
-49.93901,141.17368,8810.392
-49.98525,141.03592,8800.087
-49.981216,141.23341,8818.797
-50.00121,141.27338,8815.944
-50.037186,140.9777,8795.642
-50.049953,141.08902,8806.324
-50.058327,141.23822,8817.016
-50.102356,140.91948,8784.661
-50.110695,140.93983,8799.923
-50.111237,141.1703,8816.812
-50.151707,141.04471,8794.889
-50.185345,140.88577,8775.993
-50.176033,140.93842,8788.343
-50.19512,141.05447,8804.562
-50.243942,140.98631,8790.455
-50.228405,140.85199,8788.648
-50.221527,140.8775,8796.339
-50.31982,140.89134,8774.369
-50.290833,140.93718,8798.027
-50.398712,141.34268,8809.745
-50.339264,140.61398,8763.809
-50.42945,140.70245,8765.467
-50.382534,140.99106,8783.596
-50.499805,140.64362,8747.939
-50.40744,140.79314,8769.8545
-50.529747,140.72038,8755.124
-50.487366,140.71292,8739.636
-50.50236,140.7758,8771.053
-50.577343,140.61075,8752.512
-50.53219,140.75961,8763.344
-50.6231,140.59663,8740.148
-50.572926,140.7053,8756.063
-50.624866,140.59488,8755.495
-50.638428,140.63158,8755.08
-50.653744,140.56512,8756.737
-50.668056,140.53488,8755.442
-50.6951,140.58322,8746.342
-50.715675,140.44814,8729.149
-50.690266,140.29013,8740.6455
-50.78486,140.73613,8752.373
-50.76028,140.44505,8737.763
-50.827854,140.45137,8730.432
-50.7952,140.63136,8743.857
-50.852127,140.33235,8713.134
-50.856693,140.3964,8732.939
-50.866283,140.50261,8736.984
-50.871075,140.54903,8751.484
-50.940178,140.41583,8725.575
-50.929817,140.17384,8718.16
-50.962364,140.2666,8729.343
-50.9615,140.41743,8743.769
-51.016872,140.24573,8712.649
-51.01081,140.06877,8714.038
-51.022263,140.25282,8732.981
-51.070953,140.34993,8719.41
-51.083054,140.05032,8699.981
-51.07538,140.15627,8723.647
-51.134716,140.24973,8714.009
-51.120197,140.1141,8713.657
-51.136963,140.20267,8721.056
-51.202633,140.34758,8715.228
-51.185276,140.10207,8713.44
-51.210476,139.85962,8700.129
-51.22082,140.12439,8717.932
-51.255547,140.19229,8707.719
-51.28444,139.84312,8676.17
-51.285767,140.03091,8706.08
-51.323196,139.91371,8695.319
-51.3154,139.89987,8697.106
-51.34889,139.97125,8699.041
-51.37757,139.97867,8696.753
-51.38686,139.93239,8696.1875
-51.395367,139.8818,8692.187
-51.401237,139.7667,8685.33
-51.41312,139.64127,8683.399
-51.50604,139.99867,8689.738
-51.470913,139.83704,8676.337
-51.55481,139.94836,8702.024
-51.53204,139.66676,8674.976
-51.53988,139.97208,8689.046
-51.62952,139.64685,8670.104
-51.62617,139.62015,8644.2705
-51.596085,139.6926,8684.235
-51.639652,139.67468,8665.994
-51.691452,139.55586,8647.729
-51.65051,139.59161,8699.764
-51.702408,139.43143,8719.411
-51.72706,139.45557,8750.314
-51.782734,139.32913,8757.544
-51.810402,139.32866,8765.898
-51.828674,139.22203,8780.515
-51.861595,139.1456,8798.999
-51.9076,139.1843,8815.802
-51.922737,138.95656,8822.74
-51.96454,138.97707,8846.782
-51.99829,139.10605,8860.011
-52.02866,138.86343,8859.096
-52.05147,138.7109,8841.326
-52.06306,138.93034,8834.17
-52.09227,138.99713,8841.419
-52.078403,139.01958,8875.108
-52.166584,138.71602,8857.8
-52.13776,138.53278,8884.398
-52.18151,138.72949,8902.891
