Date,Time,Latitude,Longitude,Altitude (m),Altitude (ft)
2019-01-26,03:24:34,-54.80657599791995,108.08595999992028,8647.599882869981,28371.39159971515
2019-01-26,03:24:39,-54.81538399796416,108.0821379957717,8645.499751643278,28364.50140518133
2019-01-26,03:24:44,-54.824196001013256,108.07831600053865,8644.19954113476,28360.235622536566
2019-01-26,03:24:49,-54.8330080032758,108.07447800009676,8641.799533391371,28352.361581131747
2019-01-26,03:24:54,-54.84182400549937,108.07066299775538,8634.799704270437,28329.396261758622
2019-01-26,03:24:59,-54.850635999602765,108.06680299439282,8627.80019482039,28306.431991174526
2019-01-26,03:25:04,-54.85945099989424,108.06295800713109,8620.299378740601,28281.823013747315
2019-01-26,03:25:09,-54.86827100188015,108.05909000863252,8614.999851565808,28264.436113011165
2019-01-26,03:25:15,-54.87885999804716,108.05438200673814,8610.299572300166,28249.015248785276
2019-01-26,03:25:20,-54.88768799673679,108.05046099399378,8606.700211788528,28237.20632284427
2019-01-26,03:25:25,-54.89653400242729,108.04657699727056,8603.000072634779,28225.066758303088
2019-01-26,03:25:30,-54.9053729997578,108.04266400300988,8600.300336748362,28216.209356817493
2019-01-26,03:25:35,-54.91421500462014,108.03874199753075,8598.099583216943,28208.989036601473
2019-01-26,03:25:40,-54.92305799578124,108.03478999725013,8595.299898418598,28199.80371872767
2019-01-26,03:25:45,-54.93189199559057,108.03081499603861,8596.40022327844,28203.41370854084
2019-01-26,03:25:50,-54.94073499939464,108.0268479962565,8595.79963050969,28201.44325976141
2019-01-26,03:25:55,-54.94957699681108,108.02285000098274,8600.80003795214,28217.8487965149
2019-01-26,03:26:00,-54.95843100131613,108.01880600728903,8603.90032020025,28228.020326525788
2019-01-26,03:26:05,-54.96726999895101,108.01473199893908,8605.69970201701,28233.923810365486
2019-01-26,03:26:10,-54.976127999640546,108.01067399683141,8605.400655501522,28232.942686595612
2019-01-26,03:26:15,-54.98501200531882,108.00669099566215,8606.599645014852,28236.876379350528
2019-01-26,03:26:20,-54.9938999976369,108.00266999906273,8609.199914639816,28245.407447946895
2019-01-26,03:26:25,-55.00278900160712,107.99862699471969,8612.099157202058,28254.919398914797
2019-01-26,03:26:30,-55.0116729975906,107.99457599937207,8618.09957154654,28274.60579831275
2019-01-26,03:26:35,-55.02055700260722,107.99053199403197,8618.099342912436,28274.605048200836
2019-01-26,03:26:41,-55.03113599621612,107.98527499514611,8619.299527419731,28278.542661539752
2019-01-26,03:26:46,-55.03989799988683,107.98064400168235,8620.999781308696,28284.12092250882
2019-01-26,03:26:51,-55.048626001419336,107.97585300642088,8620.099799922667,28281.168227578284
2019-01-26,03:26:56,-55.05733499773475,107.97100800375637,8622.90017845761,28290.355821490866
2019-01-26,03:27:01,-55.06606299809703,107.96620200224972,8625.600007470697,28299.21352851016
2019-01-26,03:27:06,-55.07480599861572,107.9614410058247,8625.400600963272,28298.55930766434
2019-01-26,03:27:11,-55.08356499637645,107.95668800512455,8623.900490581058,28293.63768551796
2019-01-26,03:27:16,-55.09233499800199,107.95196499313428,8622.400242506526,28288.715611625114
2019-01-26,03:27:21,-55.101120003271085,107.9472659959175,8621.500191382132,28285.762687894156
2019-01-26,03:27:26,-55.10991700210328,107.94263499778198,8617.499542367645,28272.637198581462
2019-01-26,03:27:31,-55.11870599737195,107.9379729979172,8613.299735964276,28258.858305741036
2019-01-26,03:27:36,-55.127487005126554,107.93323500355322,8614.000203371048,28261.15642722787
2019-01-26,03:27:41,-55.136303000577314,107.92857400813068,8611.499789332971,28252.952968835183
2019-01-26,03:27:46,-55.1451259972026,107.92385900622492,8607.999698674306,28241.46973139861
2019-01-26,03:27:51,-55.15396500289789,107.91918899669874,8603.199960778467,28225.722559320428
2019-01-26,03:27:56,-55.16280400191899,107.91445900598976,8599.900265121832,28214.89678582231
2019-01-26,03:28:01,-55.17164999835006,107.90974400107508,8597.00017803628,28205.382064108548
2019-01-26,03:28:07,-55.18226999466731,107.90404499434666,8595.999820560217,28202.100051286783
2019-01-26,03:28:12,-55.1911279986677,107.89928400448552,8595.200703328475,28199.478275508194
2019-01-26,03:28:17,-55.199992996401754,107.89449300604466,8595.599555634893,28200.786846109182
2019-01-26,03:28:22,-55.208942004264635,107.88986999583496,8599.099814217538,28212.270634477467
2019-01-26,03:28:27,-55.217876000288065,107.88519299556751,8599.199663353153,28212.598223515557
2019-01-26,03:28:32,-55.22681799835264,107.88045500442384,8602.300343871117,28222.771060186114
2019-01-26,03:28:37,-55.23576700362251,107.87570999788679,8602.699871783145,28224.08184734101
2019-01-26,03:28:42,-55.24475499800235,107.87097199790763,8605.799408583902,28234.250931658407
2019-01-26,03:28:47,-55.253750004309495,107.86628700202081,8608.099641664885,28241.797628359822
2019-01-26,03:28:52,-55.26275300091705,107.86154899452852,8610.000171310268,28248.03296204158
2019-01-26,03:28:57,-55.27177399987919,107.85681899582734,8611.400763412938,28252.628080635703
2019-01-26,03:29:02,-55.28081900445205,107.85212700064511,8610.799818703905,28250.65647719652
2019-01-26,03:29:07,-55.28986699526082,107.8474039988793,8607.900367550552,28241.143841874553
2019-01-26,03:29:12,-55.298934997843354,107.84269000257406,8605.69978963025,28233.924097810508
2019-01-26,03:29:17,-55.30800599893657,107.83797499646298,8605.200471007265,28232.285913299474
2019-01-26,03:29:22,-55.317078001473874,107.83318299204167,8606.500148120336,28236.549945959123
2019-01-26,03:29:27,-55.326160001844585,107.82845299957648,8604.299732507206,28229.330734398944
2019-01-26,03:29:33,-55.337073997143996,107.8227310031905,8603.599914412014,28227.034743199514
2019-01-26,03:29:38,-55.34618799807018,107.81796299733396,8602.099616084248,28222.112504433844
2019-01-26,03:29:43,-55.35530099997998,107.81317099417151,8601.200594427064,28219.162958220088
2019-01-26,03:29:48,-55.36443699955299,107.80836500683604,8598.699803745374,28210.958264119974
2019-01-26,03:29:53,-55.37356900128431,107.80359600425075,8596.599378748797,28204.067105774204
2019-01-26,03:29:58,-55.38271299987467,107.79882800139481,8594.799397297204,28198.16165462856
2019-01-26,03:30:03,-55.39187200033474,107.7940059955082,8596.799245893024,28204.722837895668
2019-01-26,03:30:08,-55.401024001306375,107.78914599916284,8599.299838263541,28212.926881368556
