#ATom navigation files,,,,,,,,,,
#  ATom1: 2016-07-29 to 2016-08-23,,,,,,,,,,
#  ATom2: 2017-01-26 to 2017-02-21,,,,,,,,,,
#  ATom3: 2017-09-28 to 2017-10-27,,,,,,,,,,
#  ATom4: 2018-04-24 to 2018-05-21,,,,,,,,,,
#  Col 1: Index A#[sequence number], where #= 1,2,3,4,,,,,,
#  Col 2: Research Flight number,,,,,,,,,,
#  Col 3: Date as YYYYMMDD, starting date UTC,,,,,,,,,
#  Col 4: Start time of interval UTC seconds from midnight on YYYYMMDD (may exceed 86400, does not roll after midinght),,,,,,,,,
#  Col 5: End time of interval (10s nominal) UTC seconds from midnight on YYYYMMDD,,,,,,,,,,
#  Col 5,6, 7:  Latitude, Longitude, Altitude (deg, deg, m above masl). GPS data from MMS.,,,,
#  Col 8, 9: Pressure, Temperature (hPa, deg K)   Static pressure and temperature from MMS.,,,,,,,
#  Col 10:  Cumulative ground track distance (km, for each ATom deployment),,,,,,,,,
#index,RF,YYYYMMDD,UTC_Start,UTC_Stop,Latitude,Longitude,Altitude (m masl GPS),P (hPa),T(K),CumDist (km)
A3_00227,-2,20170914,70880,70890,30.747702,-118.503729,8510.54,352.253,247.822,488.7999
A3_00228,-2,20170914,70890,70900,30.727167,-118.503784,8401.56,357.724,248.67,491.0693
A3_00229,-2,20170914,70900,70910,30.706873,-118.505591,8294.58,362.84,249.343,493.3146
A3_00230,-2,20170914,70910,70920,30.687259,-118.510833,8190.61,367.905,249.995,495.5393
A3_00231,-2,20170914,70920,70930,30.66814,-118.517387,8084.65,373.444,250.874,497.7439
A3_00232,-2,20170914,70930,70940,30.649068,-118.523978,7977.88,378.904,251.822,499.9528
A3_00233,-2,20170914,70940,70950,30.629999,-118.530598,7869.44,384.437,252.658,502.1542
A3_00234,-2,20170914,70950,70960,30.611003,-118.536607,7759.14,390.165,253.482,504.3398
A3_00235,-2,20170914,70960,70970,30.592076,-118.543301,7647.54,396.037,254.219,506.5291
A3_00236,-2,20170914,70970,70980,30.573187,-118.549638,7539.06,401.83,255.044,508.7015
A3_00237,-2,20170914,70980,70990,30.554347,-118.555744,7433.39,407.554,255.882,510.875
A3_00238,-2,20170914,70990,71000,30.535576,-118.562197,7328.16,413.324,256.691,513.0398
A3_00239,-2,20170914,71000,71010,30.51688,-118.568166,7222.67,419.163,257.369,515.1869
A3_00240,-2,20170914,71010,71020,30.498253,-118.57438,7115.78,425.089,258.05,517.336
A3_00241,-2,20170914,71020,71030,30.479691,-118.580766,7008.36,431.185,258.886,519.478
A3_00242,-2,20170914,71030,71040,30.461177,-118.586455,6902.01,437.251,259.501,521.6046
A3_00243,-2,20170914,71040,71050,30.442717,-118.592776,6795.78,443.353,260.274,523.7338
A3_00244,-2,20170914,71050,71060,30.424319,-118.598937,6687.11,449.718,261.022,525.848
